Body 443: x=-6.449841, y=-13.108727, z=-0.010270
Body 444: x=-6.292040, y=0.162035, z=-11.934716
Body 445: x=1.924220, y=10.330396, z=-4.932223
Body 446: x=-4.507266, y=-1.221458, z=-6.793689
Body 447: x=-0.317296, y=-5.927367, z=-13.202026
Body 448: x=1.886718, y=12.204065, z=-6.036724
Body 449: x=7.491561, y=4.137384, z=-8.534366
Body 450: x=2.583852, y=-6.524673, z=6.623885
Body 451: x=3.707321, y=13.679854, z=2.517246
Body 452: x=-6.009088, y=-9.083858, z=3.384593
Body 453: x=-1.861853, y=-1.495707, z=-0.797827
Body 454: x=11.394149, y=2.470082, z=-5.418921
Body 455: x=6.214072, y=-3.453676, z=-10.714424
Body 456: x=6.986019, y=9.445162, z=2.845321
Body 457: x=-7.002937, y=10.092454, z=-3.211584
Body 458: x=2.100044, y=-3.817065, z=5.669034
Body 459: x=0.299384, y=3.311854, z=-14.735614
Body 460: x=0.045637, y=-0.197192, z=15.874784
Body 461: x=-2.480099, y=10.982402, z=-7.547227
Body 462: x=-5.508803, y=0.675192, z=9.798456
Body 463: x=3.921971, y=-9.874884, z=-4.060452
Body 464: x=6.599657, y=7.563935, z=5.178551
Body 465: x=-0.461351, y=-8.902607, z=9.545800
Body 466: x=2.528380, y=-8.282120, z=-10.124073
Body 467: x=3.797031, y=-3.209528, z=-11.945018
Body 468: x=0.614971, y=0.703106, z=6.823774
Body 469: x=7.418220, y=3.772220, z=8.992115
Body 470: x=-10.445823, y=-5.795834, z=1.759542
Body 471: x=15.311856, y=-1.915448, z=-1.436826
Body 472: x=1.162688, y=9.561457, z=5.544171
Body 473: x=-4.945079, y=10.904112, z=-5.701153
Body 474: x=11.483960, y=3.379323, z=6.118806
Body 475: x=-2.314465, y=-1.205892, z=4.870162
Body 476: x=-2.426799, y=-1.447327, z=6.103253
Body 477: x=-4.313815, y=9.775394, z=5.735788
Body 478: x=1.667720, y=2.720680, z=-7.086942
Body 479: x=6.003896, y=0.295681, z=7.365601
Body 480: x=-8.913375, y=7.527120, z=2.263823
Body 481: x=-11.725752, y=-4.361254, z=1.383251
Body 482: x=5.237301, y=-4.110576, z=8.665078
Body 483: x=4.036264, y=5.585160, z=10.543933
Body 484: x=-9.723491, y=-3.436607, z=8.287115
Body 485: x=-7.931540, y=-8.567944, z=-3.402249
Body 486: x=5.415328, y=8.910444, z=-4.135849
Body 487: x=-6.215434, y=-1.468802, z=1.824288
Body 488: x=-2.012422, y=5.400201, z=3.941597
Body 489: x=7.336356, y=4.152699, z=-3.327979
Body 490: x=-12.501374, y=0.218028, z=-4.100337
Body 491: x=-3.259179, y=10.741051, z=7.609449
Body 492: x=7.319724, y=0.572284, z=-10.377612
Body 493: x=-5.699252, y=-10.335665, z=2.629834
Body 494: x=7.680301, y=-3.302189, z=-10.846113
Body 495: x=-0.256375, y=10.462197, z=-8.823715
Body 496: x=8.179196, y=-0.651537, z=-7.686691
Body 497: x=-1.884821, y=6.157852, z=-12.782534
Body 498: x=-0.388200, y=-0.064344, z=7.108336
Body 499: x=-1.106349, y=-9.101252, z=-1.140315
Body 500: x=13.685305, y=8.345394, z=-4.166481
Body 501: x=-6.970402, y=1.893872, z=-10.471263
Body 502: x=5.776096, y=3.210453, z=11.626418
Body 503: x=0.811585, y=1.399742, z=5.019413
Body 504: x=0.335016, y=-10.734967, z=-7.816952
Body 505: x=-4.987528, y=-1.459197, z=4.491064
Body 506: x=-3.048101, y=1.802991, z=14.010875
