Body 451: x=3.707362, y=13.679973, z=2.517207
Body 452: x=-6.009109, y=-9.083835, z=3.384619
Body 453: x=-1.861802, y=-1.495714, z=-0.797802
Body 454: x=11.394135, y=2.470063, z=-5.419011
Body 455: x=6.214031, y=-3.453603, z=-10.714422
Body 456: x=6.986122, y=9.445131, z=2.845335
Body 457: x=-7.003022, y=10.092441, z=-3.211593
Body 458: x=2.100040, y=-3.817072, z=5.668974
Body 459: x=0.299380, y=3.311863, z=-14.735526
Body 460: x=0.045633, y=-0.197192, z=15.874653
Body 461: x=-2.480093, y=10.982388, z=-7.547097
Body 462: x=-5.508848, y=0.675195, z=9.798587
Body 463: x=3.921949, y=-9.874800, z=-4.060481
Body 464: x=6.599705, y=7.563929, z=5.178600
Body 465: x=-0.461335, y=-8.902617, z=9.545840
Body 466: x=2.528359, y=-8.282156, z=-10.124054
Body 467: x=3.797081, y=-3.209518, z=-11.945059
Body 468: x=0.614958, y=0.703094, z=6.823711
Body 469: x=7.418149, y=3.772216, z=8.992173
Body 470: x=-10.445762, y=-5.795856, z=1.759563
Body 471: x=15.311835, y=-1.915421, z=-1.436841
Body 472: x=1.162689, y=9.561440, z=5.544223
Body 473: x=-4.945084, y=10.903986, z=-5.701245
Body 474: x=11.484036, y=3.379326, z=6.118817
Body 475: x=-2.314487, y=-1.205892, z=4.870232
Body 476: x=-2.426766, y=-1.447337, z=6.103266
Body 477: x=-4.313786, y=9.775243, z=5.735811
Body 478: x=1.667721, y=2.720689, z=-7.086928
Body 479: x=6.003839, y=0.295683, z=7.365583
Body 480: x=-8.913379, y=7.527148, z=2.263800
Body 481: x=-11.725803, y=-4.361257, z=1.383250
Body 482: x=5.237332, y=-4.110552, z=8.665013
Body 483: x=4.036241, y=5.585177, z=10.543861
Body 484: x=-9.723495, y=-3.436607, z=8.287206
Body 485: x=-7.931456, y=-8.567985, z=-3.402256
Body 486: x=5.415345, y=8.910524, z=-4.135862
Body 487: x=-6.215497, y=-1.468800, z=1.824280
Body 488: x=-2.012435, y=5.400250, z=3.941573
Body 489: x=7.336254, y=4.152739, z=-3.327981
Body 490: x=-12.501354, y=0.218029, z=-4.100368
Body 491: x=-3.259175, y=10.741062, z=7.609447
Body 492: x=7.319664, y=0.572288, z=-10.377486
Body 493: x=-5.699234, y=-10.335597, z=2.629805
Body 494: x=7.680376, y=-3.302179, z=-10.846071
Body 495: x=-0.256376, y=10.462198, z=-8.823852
Body 496: x=8.179150, y=-0.651544, z=-7.686701
Body 497: x=-1.884820, y=6.157835, z=-12.782608
Body 498: x=-0.388198, y=-0.064345, z=7.108212
Body 499: x=-1.106359, y=-9.101408, z=-1.140333
Body 500: x=13.685231, y=8.345473, z=-4.166514
Body 501: x=-6.970361, y=1.893859, z=-10.471374
Body 502: x=5.776122, y=3.210406, z=11.626395
Body 503: x=0.811585, y=1.399734, z=5.019410
Body 504: x=0.335023, y=-10.735084, z=-7.816957
Body 505: x=-4.987507, y=-1.459192, z=4.491072
Body 506: x=-3.048131, y=1.802985, z=14.010627
